acousticness,danceability,energy,valence,instrumentalness,loudness,tempo,popularity,key,mode,duration_ms,speechiness,liveness,explicit,year
0.066,0.763,0.88,0.779,0,-4.741,95.005,48,4,0,289907,0.348,0.055,1,2000
0.158,0.66,0.557,0.788,0,-9.597,110.743,54,1,1,158800,0.03,0.543,0,2000
0.959,0.54,0.146,0.594,0,-15.347,131.56,50,4,1,175973,0.076,0.234,0,2000
0,0.566,0.909,0.275,0,-4.184,121.966,54,7,1,194733,0.064,0.098,1,2000
0.437,0.397,0.625,0.676,0,-5.829,104.54,57,7,1,227760,0.035,0.263,0,2000
0.533,0.456,0.822,0.531,0,-9.069,102.131,46,11,0,346760,0.049,0.103,0,2000
0.663,0.888,0.202,0.967,0,-9.708,98.639,51,5,1,169800,0.122,0.08,0,2000
0.012,0.634,0.677,0.558,0.001,-7.278,135.012,61,5,0,240867,0.03,0.126,0,2000
0.064,0.554,0.904,0.801,0,-6.319,123.443,55,4,0,190120,0.054,0.259,0,2000
0.384,0.462,0.796,0.824,0,-6.202,204.028,59,9,1,264240,0.032,0.296,0,2000
0.016,0.313,0.915,0.206,0,-4.86,137.849,51,7,1,338333,0.345,0.206,0,2000
0.005,0.699,0.793,0.929,0,-4.856,94.138,58,1,1,248693,0.268,0.7,1,2000
0.013,0.546,0.907,0.654,0.002,-4.117,173.178,48,4,0,212400,0.09,0.169,0,2000
0.186,0.703,0.636,0.218,0.026,-7.579,122.921,55,7,1,191773,0.038,0.096,0,2000
0.71,0.567,0.309,0.35,0.007,-14.102,126.351,53,7,1,391160,0.035,0.101,0,2000
0.402,0.498,0.806,0.664,0,-5.284,99.396,54,0,1,207787,0.026,0.525,0,2000
0.003,0.806,0.905,0.729,0,-3.119,89.982,52,8,0,218840,0.299,0.23,1,2000
0.104,0.374,0.456,0.076,0,-7.35,135.643,56,6,0,436440,0.037,0.197,0,2000
0.921,0.112,0.13,0.043,0.706,-16.128,90.835,54,7,1,200483,0.035,0.13,0,2000
0.036,0.855,0.874,0.861,0.022,-4.018,89.449,49,10,0,257467,0.21,0.087,1,2000
0.112,0.766,0.552,0.809,0,-6.489,107.916,53,5,1,174440,0.034,0.126,0,2000
0.959,0.165,0.048,0.069,0.307,-23.188,136.752,54,9,1,168827,0.041,0.072,0,2000
0.333,0.356,0.554,0.541,0,-6.013,204.04,50,9,1,262467,0.04,0.064,0,2000
0.008,0.645,0.921,0.864,0,-5.256,129,67,6,0,186440,0.03,0.407,0,2000
0.819,0.88,0.379,0.682,0,-11.647,135.28,49,7,1,145547,0.049,0.087,0,2000
0.262,0.63,0.428,0.159,0.852,-15.52,112.923,54,5,1,284507,0.036,0.278,0,2000
0.064,0.622,0.964,0.609,0,-4.314,92.973,44,1,1,236933,0.083,0.235,0,2000
0.004,0.506,0.928,0.432,0.002,-2.896,100.376,56,8,1,264040,0.186,0.279,1,2000
0.006,0.484,0.924,0.557,0.018,-5.119,90.475,50,9,1,204293,0.099,0.218,1,2000
0.001,0.396,0.986,0.546,0,-4.467,110.72,50,11,0,207693,0.057,0.23,0,2000
0.482,0.636,0.486,0.568,0,-11.862,123.428,42,4,1,210307,0.035,0.099,0,2000
0.016,0.501,0.546,0.3,0,-6.192,80.051,46,7,1,276707,0.031,0.082,0,2000
0.006,0.144,0.668,0.036,0.308,-6.622,89.64,46,8,1,453227,0.048,0.11,0,2000
0.281,0.68,0.566,0.363,0.025,-6.95,121.778,55,6,1,274000,0.027,0.127,0,2000
0.763,0.454,0.409,0.268,0,-8.019,140.383,42,10,1,221600,0.032,0.083,0,2000
0.07,0.76,0.644,0.779,0,-8.971,99.954,48,1,1,209440,0.043,0.155,0,2000
0.001,0.68,0.846,0.926,0,-5.252,89.962,44,8,1,277853,0.054,0.144,0,2000
0.182,0.746,0.826,0.692,0,-5.144,117.956,42,7,1,191800,0.034,0.136,0,2000
0.305,0.554,0.472,0.497,0,-8.215,141.283,41,0,1,221240,0.285,0.119,0,2000
0.009,0.594,0.786,0.786,0,-6.968,167.16,41,7,1,243267,0.035,0.187,0,2000
